RW2,,,RW1,RW3/RW1,,,RW2 Overflow,,,RW3 Overflow,,,Days since start up
,Total ,Soluble,,Total ,Soluble,,Total ,Soluble,,Total ,Soluble,,0
44012,118,26,,157,48,,,,,,,,1
44013,195,55,,216,63,,,,,,,,2
44014,262,54,,262,62,,,,,,,,3
44015,312,83,,335,71,,,,,,,,4
44016,421,105,,387,64,,,,,,,,5
44017,449,102,,474,80,,,,,,,,6
44018,397,89,,405,82,,,,,,,,7
44019,298,87,,397,90,,,,,,,,8
44020,332,87,,438,95,,,,,,,,9
44021,450,104,,410,105,,,,,,,,10
44022,650,130,,330,124,,,,,,,,11
44023,560,137,,330,125,,,,,,,,12
44024,290,150,,370,141,,,,,,,,13
44025,410,131,,450,114,,,,,,,,14
44026,362,129,,315,127,,,,,,,,15
44027,796,159,,397,144,,,,,,,,16
44028,343,72,,387,74,,,,,,,,17
44029,452,102,,445,86,,629,108,,585,113,,18
44030,501,99,,451,98,,434,126,,371,90,,19
44031,486,138,,486,131,,340,115,,375,135,,20
44032,484,143,,490,118,,500,133,,424,105,,21
44033,491,136,,471,134,,442,140,,461,134,,22
44034,492,123,,459,110,,464,130,,453,129,,23
44035,447,133,,347,104,,406,122,,287,113,,24
44036,482,128,,461,126,,460,136,,843,126,,25
44037,468,145,,447,257,,449,147,,510,123,,26
44038,378,94,,378,66,,354,113,,322,90,,27
44039,376,92,,354,66,,347,104,,459,67,,28
44040,407,83,,357,57,,364,69,,444,44,,29
44041,418,98,,374,57,,453,100,,396,56,,30
44042,401,98,,348,59,,386,108,,411,52,,31
44043,437,90,,367,41,,,,,,,,32
44044,416,85,,360,134,,,,,,,,33
44045,440,212,,371,102,,,,,,,,34
44046,414,133,,397,72,,,,,,,,35
44047,417,72,,387,31,,,,,,,,36
44048,436,105,,372,49,,,,,,,,37
44049,433,77,,346,55,,,,,,,,38
44050,362,81,,370,45,,,,,,,,39
44051,378,72,,364,56,,,,,,,,40
44052,329,54,,361,53,,,,,,,,41
44053,411,91,,386,72,,,,,,,,42
44054,250,20,,254,35,,,,,,,,43
44055,338,40,,395,50,,,,,,,,44
44056,347,49,,385,57,,,,,,,,45
44057,397,52,,365,59,,,,,,,,46
44058,436,88,,457,178,,,,,,,,47
44059,412,34,,354,66,,,,,,,,48
44060,431,46,,345,34,,,,,,,,49
44061,455,59,,384,61,,,,,,,,50
44062,450,50,,344,56,,,,,,,,51
44063,438,45,,352,45,,,,,,,,52
44064,423,49,,340,33,,,,,,,,53
44065,445,40,,381,78,,,,,,,,54
44066,461,42,,345,61,,,,,,,,55
44067,455,54,,361,59,,,,,,,,56
44068,443,61,,359,72,,,,,,,,57
44069,400,47,,353,64,,,,,,,,58
44070,352,59,,329,61,,,,,,,,59
44071,308,75,,367,63,,,,,,,,60
44072,328,50,,450,99,,,,,,,,61
44073,242,67,,435,91,,,,,,,,62
44074,170,57,,401,66,,,,,,,,63
44075,189,53,,407,57,,,,,,,,64
44076,248,100,,432,74,,,,,,,,65
44077,323,147,,457,101,,,,,,,,66
44078,297,97,,423,91,,,,,,,,67
44079,300,93,,413,82,,,,,,,,68
44080,287,86,,364,59,,,,,,,,69
44081,330,94,,420,69,,,,,,,,70
44082,330,92,,410,78,,,,,,,,71
44083,370,68,,420,71,,,,,,,,72
44084,330,131,,420,100,,,,,,,,73
44085,380,127,,440,104,,,,,,,,74
44086,350,130,,430,100,,,,,,,,75
44087,450,123,,510,93,,,,,,,,76
44088,410,114,,410,88,RW1 Paddle wheel broken!!,,,,,,,77
44089,420,110,,300,85,,,,,,,,78
44090,410,108,,200,83,,,,,,,,79
44091,400,110,,250,90,,,,,,,,80
44092,460,92,,580,78,,,,,,,,81
44093,430,107,,590,105,,,,,,,,82
44094,480,121,,540,87,,,,,,,,83
44095,430,89,,490,89,,,,,,,,84
44096,400,89,,400,86,,,,,,,,85
44097,260,110,,300,61,,,,,,,,86
44098,240,92,,270,81,,,,,,,,87
44099,430,100,,370,89,,,,,,,,88
44100,400,91,,360,71,,,,,,,,89
44101,450,97,,380,98,,,,,,,,90
44102,346,99,,329,85,,,,,,,,91
44103,360,89,,328,89,,,,,,,,92
44104,550,59,,350,62,,,,,,,,93
44105,400,147,,310,100,,,,,,,,94
44106,343,51,,265,64,,,,,,,,95
44107,410,80,,310,107,,,,,,,,96
44108,370,95,,280,83,,,,,,,,97
44109,360,98,,270,90,,,,,,,,98
44110,710,25,,470,25,,,,,,,,99
44111,363,112,,239,119,,,,,,,,100
44112,285,84,,209,97,,,,,,,,101
44113,245,94,,179,88,,,,,,,,102
44114,207,96,,253,95,,,,,,,,103
44115,320,294,,147,115,,,,,,,,104
44116,156,74,,135,79,,,,,,,,105
44117,71,22,,68,24,,,,,,,,106
