Date,RW2,RW3/RW1
44013.50903,16.422,15.599
44013.51944,16.5693,16.0562
44013.52986,16.6205,15.3957
44013.54028,16.9852,15.879
44013.55069,16.5423,15.3783
44013.56111,16.7631,15.4867
44013.57153,16.197,15.3822
44013.58194,16.4873,15.0473
44013.59236,16.7563,14.6548
44013.60278,16.1205,14.9617
44013.61319,15.7254,14.2327
44013.62361,15.7715,13.6815
44013.63403,14.6929,13.3017
44013.64444,13.9902,12.4291
44013.65486,13.1938,11.6097
44013.66528,12.7713,11.0757
44013.67569,12.1935,10.4127
44013.68611,11.3187,9.51746
44013.69653,10.4967,8.65806
44013.70694,9.71105,7.86399
44013.71736,8.92445,7.10779
44013.72778,8.17803,6.41349
44013.73819,7.5323,5.83895
44013.74861,6.98944,5.39061
44013.75903,6.56028,5.04285
44013.76944,6.22766,4.77037
44013.77986,5.97084,4.57225
44013.79028,5.77395,4.442
44013.80069,5.61467,4.33468
44013.81111,5.50073,4.26508
44013.82153,5.41406,4.21704
44013.83194,5.34631,4.17903
44013.84236,5.30653,4.15103
44013.85278,5.28627,4.14384
44013.86319,5.28998,4.14523
44013.87361,5.30226,4.14933
44013.88403,5.32216,4.16167
44013.89444,5.35741,4.1852
44013.90486,5.40152,4.21229
44013.91528,5.45454,4.23853
44013.92569,5.50454,4.27371
44013.93611,5.56411,4.30983
44013.94653,5.62103,4.35324
44013.95694,5.67402,4.38842
44013.96736,5.72171,4.42249
44013.97778,5.76821,4.45716
44013.98819,5.81201,4.48941
44013.99861,5.84675,4.51347
44014.00903,5.88115,4.54379
44014.01944,5.92015,4.58627
44014.02986,5.96531,4.62817
44014.04028,6.00865,4.66599
44014.05069,6.05495,4.70476
44014.06111,6.09655,4.74463
44014.07153,6.14408,4.78793
44014.08194,6.19866,4.8219
44014.09236,6.25257,4.86033
44014.10278,6.30454,4.89956
44014.11319,6.35384,4.9451
44014.12361,6.40761,4.98243
44014.13403,6.46404,5.02503
44014.14444,6.51049,5.05962
44014.15486,6.56104,5.09354
44014.16528,6.60794,5.13444
44014.17569,6.65925,5.17018
44014.18611,6.70696,5.20832
44014.19653,6.7552,5.25804
44014.20694,6.80424,5.30904
44014.21736,6.8517,5.35486
44014.22778,6.89815,5.40026
44014.23819,6.94173,5.4401
44014.24861,6.98653,5.45934
44014.25903,7.03594,5.47218
44014.26944,7.08168,5.49328
44014.27986,7.15189,5.54707
44014.29028,7.31084,5.68517
44014.30069,7.59887,5.94984
44014.31111,8.10765,6.31155
44014.32153,8.96185,7.00722
44014.33194,9.80692,7.92478
44014.34236,10.9115,9.16623
44014.35278,12.0533,10.4224
44014.36319,13.0173,11.5236
44014.37361,13.7646,12.4131
44014.38403,14.5348,13.3242
44014.39444,15.3617,14.2846
44014.40486,16.0828,15.134
44014.41528,16.4721,15.6374
44014.42569,17.1374,16.437
44014.43611,17.3344,16.7296
44014.44653,17.6966,17.1874
44014.45694,17.6663,17.2094
44014.46736,17.9361,17.5499
44014.47778,18.2816,17.991
44014.48819,18.3817,18.134
44014.49861,18.2593,18.0334
44014.50903,18.401,18.2219
44014.51944,18.4497,18.2866
44014.52986,18.3985,18.2146
44014.54028,18.061,17.8452
44014.55069,17.8083,17.5678
44014.56111,17.3065,16.9863
44014.57153,17.1307,16.6924
44014.58194,17.1992,16.6315
44014.59236,17.2019,16.4923
44014.60278,16.9672,16.1026
44014.61319,16.6476,15.6456
44014.62361,16.1962,15.0803
44014.63403,15.4687,14.4706
44014.64444,14.1731,13.0792
44014.65486,13.0178,11.7842
44014.66528,12.0122,10.6799
44014.67569,11.1337,9.72842
44014.68611,10.3367,8.88111
44014.69653,9.61504,8.11574
44014.70694,8.90873,7.39399
44014.71736,8.20765,6.69988
44014.72778,7.53804,6.06035
44014.73819,6.96021,5.52658
44014.74861,6.47324,5.07582
44014.75903,6.0671,4.71286
44014.76944,5.72786,4.40691
44014.77986,5.4452,4.17128
44014.79028,5.20615,3.98637
44014.80069,5.0107,3.83665
44014.81111,4.85176,3.72559
44014.82153,4.72392,3.64468
44014.83194,4.62199,3.58312
44014.84236,4.54411,3.73978
44014.85278,4.48928,3.51973
44014.86319,4.45162,3.50403
44014.87361,4.42178,3.50501
44014.88403,4.41049,3.51112
44014.89444,4.40667,3.5182
44014.90486,4.41038,3.53603
44014.91528,4.4219,3.55012
44014.92569,4.44082,3.57158
44014.93611,4.46285,3.595
44014.94653,4.48558,3.62237
44014.95694,4.51419,3.66187
44014.96736,4.54325,3.69084
44014.97778,4.57954,3.72645
44014.98819,4.62344,3.76816
44014.99861,4.6652,3.80088
44015.00903,4.70419,3.83963
44015.01944,4.75138,3.87748
44015.02986,4.79277,3.90907
44015.04028,4.83802,3.94757
44015.05069,4.88471,3.99668
44015.06111,4.93644,4.04787
44015.07153,4.98988,4.0893
44015.08194,5.04397,4.1247
44015.09236,5.09263,4.15845
44015.10278,5.1462,4.1909
44015.11319,5.19973,4.22467
44015.12361,5.25464,4.26234
44015.13403,5.30927,4.29254
44015.14444,5.36746,4.33752
44015.15486,5.42497,4.3792
44015.16528,5.47829,4.40885
44015.17569,5.53218,4.45047
44015.18611,5.5851,4.47494
44015.19653,5.63937,4.5084
44015.20694,5.69911,4.53514
44015.21736,5.75961,4.57662
44015.22778,5.82005,4.6123
44015.23819,5.88207,4.64949
44015.24861,5.93751,4.68762
44015.25903,5.99266,4.72919
44015.26944,6.04885,4.76317
44015.27986,6.12625,4.82342
44015.29028,6.29244,4.97854
44015.30069,6.58897,5.26341
44015.31111,7.0744,5.65001
44015.32153,7.76556,6.1777
44015.33194,8.34654,7.00761
44015.34236,9.13975,7.94857
44015.35278,10.1899,9.05387
44015.36319,11.2466,10.1793
44015.37361,12.2748,11.3017
44015.38403,13.2687,12.4111
44015.39444,14.2619,13.5147
44015.40486,15.2499,14.6434
44015.41528,16.2115,15.7298
44015.42569,17.0846,16.7015
44015.43611,17.8058,17.4828
44015.44653,18.3825,18.1112
44015.45694,18.835,18.6003
44015.46736,19.1777,18.9762
44015.47778,19.4278,19.251
44015.48819,19.6262,19.4514
44015.49861,19.7637,19.5774
44015.50903,19.8453,19.6272
44015.51944,19.864,19.5765
44015.52986,19.7994,19.4377
44015.54028,19.6665,19.2224
44015.55069,19.4745,18.9282
44015.56111,19.213,18.5759
44015.57153,18.9093,18.1709
44015.58194,18.5348,17.6988
44015.59236,18.0913,17.1687
44015.60278,17.6156,16.6164
44015.61319,17.0874,16.0245
44015.62361,16.4854,15.3761
44015.63403,15.5049,14.6096
44015.64444,14.0025,13.0558
44015.65486,12.7314,11.6554
44015.66528,11.5855,10.4549
44015.67569,10.5856,9.40722
44015.68611,9.68781,8.49342
44015.69653,8.88375,7.68692
44015.70694,8.13531,6.95178
44015.71736,7.43281,6.26551
44015.72778,6.77354,5.63863
