Date,RW2,RW3/RW1
44013.50903,21.7003,22.095
44013.51944,22.01,22.3762
44013.52986,22.2502,22.5677
44013.54028,22.4091,22.6834
44013.55069,22.4837,22.7088
44013.56111,22.5471,22.7371
44013.57153,22.5965,22.754
44013.58194,22.5415,22.675
44013.59236,22.4696,22.5706
44013.60278,22.364,22.4409
44013.61319,22.2291,22.2903
44013.62361,22.0535,22.1077
44013.63403,21.7997,21.858
44013.64444,21.5507,21.606
44013.65486,21.3021,21.342
44013.66528,21.0916,21.1217
44013.67569,20.8871,20.9115
44013.68611,20.6092,20.6252
44013.69653,20.361,20.3687
44013.70694,20.1187,20.1181
44013.71736,19.8727,19.8679
44013.72778,19.6478,19.6292
44013.73819,19.4107,19.388
44013.74861,19.1602,19.132
44013.75903,18.9129,18.8779
44013.76944,18.6713,18.6295
44013.77986,18.4191,18.3746
44013.79028,18.1946,18.1419
44013.80069,17.9758,17.9218
44013.81111,17.7627,17.7059
44013.82153,17.562,17.5053
44013.83194,17.3615,17.3021
44013.84236,17.1666,17.1086
44013.85278,16.9419,16.8813
44013.86319,16.7568,16.6975
44013.87361,16.5733,16.5154
44013.88403,16.3911,16.3346
44013.89444,16.2023,16.1499
44013.90486,16.0325,15.9788
44013.91528,15.852,15.8037
44013.92569,15.6824,15.6328
44013.93611,15.521,15.4768
44013.94653,15.3787,15.3358
44013.95694,15.2567,15.2179
44013.96736,15.1388,15.1054
44013.97778,15.0182,14.9916
44013.98819,14.899,14.8778
44013.99861,14.7662,14.7491
44014.00903,14.6403,14.6259
44014.01944,14.5035,14.4932
44014.02986,14.3654,14.3551
44014.04028,14.2288,14.2197
44014.05069,14.0934,14.0871
44014.06111,13.9635,13.9598
44014.07153,13.8065,13.8029
44014.08194,13.6563,13.6567
44014.09236,13.5142,13.516
44014.10278,13.387,13.3914
44014.11319,13.2706,13.2818
44014.12361,13.1636,13.1789
44014.13403,13.0662,13.0855
44014.14444,12.9674,12.9908
44014.15486,12.8848,12.9136
44014.16528,12.7955,12.8297
44014.17569,12.7156,12.7539
44014.18611,12.6411,12.6848
44014.19653,12.5639,12.6117
44014.20694,12.4935,12.5467
44014.21736,12.4421,12.4993
44014.22778,12.392,12.4547
44014.23819,12.3365,12.4073
44014.24861,12.2877,12.3625
44014.25903,12.2322,12.3151
44014.26944,12.1725,12.2582
44014.27986,12.1143,12.2027
44014.29028,12.0655,12.158
44014.30069,12.033,12.1295
44014.31111,12.0316,12.1187
44014.32153,12.1021,12.1716
44014.33194,12.2078,12.2908
44014.34236,12.4177,12.5305
44014.35278,12.7467,12.8703
44014.36319,13.1203,13.2561
44014.37361,13.4411,13.5917
44014.38403,13.8809,14.0465
44014.39444,14.4223,14.611
44014.40486,14.9545,15.1623
44014.41528,15.3217,15.5406
44014.42569,15.9742,16.211
44014.43611,16.4047,16.6472
44014.44653,17.0563,17.3157
44014.45694,17.4202,17.6868
44014.46736,17.9799,18.2582
44014.47778,18.6466,18.9287
44014.48819,19.141,19.4238
44014.49861,19.5154,19.7975
44014.50903,19.9196,20.1956
44014.51944,20.1671,20.4463
44014.52986,20.44,20.7127
44014.54028,20.5509,20.8225
44014.55069,20.6217,20.8893
44014.56111,20.5842,20.8517
44014.57153,20.5704,20.8281
44014.58194,20.6009,20.8517
44014.59236,20.6217,20.8614
44014.60278,20.5953,20.8211
44014.61319,20.5468,20.7585
44014.62361,20.4206,20.6364
44014.63403,20.2779,20.5198
44014.64444,20.062,20.3105
44014.65486,19.863,20.1015
44014.66528,19.6671,19.8955
44014.67569,19.4933,19.7078
44014.68611,19.3226,19.534
