,RW2,RW3,RW2Overflow,RW3 Overflow,,Days since startup,
44012,44.3,50.9,,,,0,
44013,69.1,74.1,,,,1,
44014,89.7,104,,,,2,
44015,86.5,90.9,,,,3,
44016,87.8,92.1,,,,4,
44017,93.2,97.3,,,,5,
44018,100,105,,,,6,
44019,117,101,,,,7,
44020,111,108,,,,8,
44021,108,100,,,,9,
44022,221,89.5,,,,10,
44023,131,81.4,,,,11,
44024,61.8,74.6,,,,12,
44025,95.9,104,,,,13,
44026,123,104,,,,14,
44027,372,164,,,,15,
44028,84.2,73.9,,,,16,
44029,116,128,205,90.3,,17,
44030,104,114,101,74.1,,18,
44031,108,102,63.9,73.4,,19,
44032,106,111,99.3,93,,20,
44033,126,113,123,122,,21,
44034,119,99.8,92.7,90.5,,22,
44035,112,63,78.8,56.6,Paddle wheel broke on RW 3,23,
44036,142,134,136,150,NOW RW1,24,
44037,108,102,109,110,,25,
44038,91.4,88.8,110,75.4,,26,
44039,99.5,99.1,101,144,,27,
44040,111,99,102,167,,28,
44041,102,92.2,136,130,,29,
44042,96.6,95.5,85.5,124,,30,
44043,114,116,,,,31,
44044,95.9,101,,,,32,
44045,94.5,103,,,,33,
44046,95.6,99.1,,,,34,
44047,96,94.1,,,,35,
44048,90.7,96.8,,,,36,
44049,94.4,92.3,,,,37,
44050,91.8,96.3,,,,38,
44051,91.6,96.8,,,,39,
44052,90.7,105,,,,40,
44053,96.5,109,,,,41,
44054,126,110,,,,42,
44055,95.5,98.7,,,,43,
44056,93.6,99.4,,,,44,
44057,105,102,,,,45,
44058,121,104,,,,46,
44059,133,105,,,,47,
44060,143,122,,,,48,
44061,157,195,,,,49,
44062,170,115,,,,50,
44063,136,95.1,,,,51,
44064,179,97.6,,,,52,
44065,149,106,,,,53,
44066,132,101,,,,54,
44067,168,123,,,,55,
44068,159,100,,,,56,
44069,132,95.9,,,,57,
44070,102,85.9,,,,58,
44071,91.6,90.6,,,,59,
44072,86.9,112,,,,60,
44073,68.8,107,,,,61,
44074,64.5,131,,,,62,
44075,62.2,119,,,,63,
44076,70.2,121,,,,64,
44077,73.2,104,,,,65,
44078,87.4,152,,,,66,
44079,78.2,134,,,,67,
44080,77.4,103,,,,68,
44081,84.1,102,,,,69,
44082,82.7,111,,,,70,
44083,92,103,,,,71,
44084,79.4,92.7,,,,72,
44085,80.2,95,,,,73,
44086,89,98,,,,74,
44087,103,110,,,,75,
44088,84,87.7,RW1 Paddle wheel broken!!,,,76,
