Date,RW2,RW3/1,RW2 Overflow,RW3/1 Overflow,,Days Since Start
44012,0.22,0.23,,,,0
44013,0.73,0.54,,,,1
44014,0.27,0.33,,,,2
44015,0.39,0.42,,,,3
44016,0.52,0.48,,,,4
44017,0.56,0.49,,,,5
44018,0.52,0.5,,,,6
44019,0.58,0.5,,,,7
44020,0.56,0.54,,,,8
44021,0.54,0.53,,,,9
44022,1.04,0.46,,,,10
44023,0.69,0.45,,,,11
44024,0.3,0.42,,,,12
44025,0.62,0.59,,,,13
44026,0.52,0.48,,,,14
44027,0.6,0.54,,,,15
44028,0.4,0.38,,,,16
44029,0.58,0.57,0.81,0.79,,17
44030,0.56,0.53,0.55,0.34,,18
44031,0.63,0.5,0.37,0.37,,19
44032,0.62,0.54,0.67,0.47,,20
44033,0.68,0.57,0.63,0.51,,21
44034,0.7,0.6,0.64,0.54,,22
44035,0.69,0.37,0.54,0.3,,23
44036,0.72,0.67,0.72,1.14,,24
44037,0.71,0.64,0.7,0.7,,25
44038,0.62,0.55,0.55,0.51,,26
44039,0.62,0.58,0.58,0.8,,27
44040,0.63,0.57,0.57,0.8,,28
44041,0.68,0.6,0.76,0.69,,29
44042,0.69,0.6,0.61,0.72,,30
44043,0.66,0.58,,,,31
44044,0.67,0.63,,,,32
44045,0.69,0.65,,,,33
44046,0.71,0.65,,,,34
44047,0.68,0.6,,,,35
44048,0.64,0.55,,,,36
44049,0.65,0.57,,,,37
44050,0.6,0.6,,,,38
44051,0.59,0.54,,,,39
44052,0.57,0.56,,,,40
44053,0.56,0.53,,,,41
44054,0.6,0.57,,,,42
44055,0.6,0.55,,,,43
44056,0.59,0.56,,,,44
44057,0.69,0.61,,,,45
44058,0.67,0.58,,,,46
44059,0.67,0.58,,,,47
44060,0.71,0.54,,,,48
44061,0.73,0.58,,,,49
44062,0.71,0.56,,,,50
44063,0.73,0.52,,,,51
44064,0.72,0.48,,,,52
44065,0.73,0.58,,,,53
44066,0.74,0.58,,,,54
44067,0.7,0.54,,,,55
44068,0.68,0.49,,,,56
44069,0.55,0.44,,,,57
44070,0.47,0.49,,,,58
44071,0.42,0.51,,,,59
44072,0.4,0.68,,,,60
44073,0.27,0.7,,,,61
44074,0.25,0.7,,,,62
44075,0.22,0.73,,,,63
44076,0.23,0.75,,,,64
44077,0.3,0.74,,,,65
44078,0.39,0.74,,,,66
44079,0.36,0.65,,,,67
44080,0.35,0.62,,,,68
44081,0.38,0.56,,,,69
44082,0.37,0.59,,,,70
44083,0.44,0.61,,,,71
44084,0.46,0.61,,,,72
44085,0.5,0.62,,,,73
44086,0.55,0.61,,,,74
44087,0.56,0.62,,,,75
44088,0.52,0.56,RW1 Paddle wheel broken!!,,,76
44089,0.51,0.1,,,,77
44090,0.51,0.1,,,,78
44091,0.51,0.36,Paddle wheel fixed,,,79
44092,0.45,0.86,,,,80
44093,0.46,0.87,,,,81
44094,0.55,0.86,,,,82
44095,0.46,0.74,,,,83
44096,0.37,0.58,,,,84
44097,0.15,0.26,,,,85
44098,0.12,0.19,,,,86
44099,0.51,0.46,,,,87
44100,0.46,0.49,,,,88
44101,0.6,0.84,,,,89
44102,0.42,0.47,,,,90
44103,0.42,0.43,,,,91
44104,0.46,0.45,,,,92
44105,0.44,0.42,,,,93
44106,0.44,0.36,,,,94
44107,0.39,0.34,,,,95
44108,0.34,0.29,,,,96
44109,0.26,0.19,,,,97
44110,0.25,0.13,,,,98
44111,0.12,0.33,,,,99
44112,0.29,0.12,,,,100
44113,0.18,0.06,,,,101
44114,0.13,0.07,,,,102
44115,0.09,0.08,,,,103
44116,0.07,0.05,,,,104
44117,0.06,0.03,,,,105
44118,0.05,0.03,,,,106
44119,0.12,0.04,,,,107
44120,0.09,0.02,,,,108
44121,0.16,0.11,,,,109
44122,0.16,0.11,,,,110
44123,0.11,0.09,,,,111
44124,0.11,0.13,,,,112
44125,0.11,0.14,,,,113
44126,0.16,0.16,,,,114
44127,0.16,0.21,,,,115
44128,0.15,0.22,,,,116
44129,0.2,0.15,,,,117
44130,0.11,0.14,,,,118
44131,0.16,0.16,,,,119
44132,0.12,0.15,,,,120
44133,0.111,0.12,,,,121
44134,0.16,0.18,,,,122
44135,0.2,0.2,,,,123
44136,0.19,0.2,,,,124
44137,0.17,0.17,,,,125
44138,0.19,0.17,,,,126
44139,0.2,0.19,,,,127
44140,0.22,0.16,,,,128
44141,0.22,0.16,,,,129
44142,0.28,0.2,,,,130
44143,0.29,0.17,,,,131
44144,0.28,0.16,,,,132
44145,0.41,0.26,,,,133
44146,0.38,0.24,,,,134
44147,0.33,0.21,,,,135
44148,0.34,0.16,,,,136
44149,0.35,0.18,,,,137
44150,0.36,0.16,,,,138
44151,0.28,0.22,,,,139
44152,0.26,0.22,,,,140
44153,0.32,0.55,,,,141
44154,0.33,0.46,,,,142
44155,0.36,0.62,,,,143
44156,0.39,0.66,,,,144
44157,0.37,0.59,,,,145
44158,0.32,0.6,,,,146
44159,0.27,0.53,,,,147
44160,0.27,0.59,,,,148
44161,0.27,0.51,,,,149
44162,0.31,0.7,,,,150
44163,0.31,0.56,,,,151
44164,0.26,0.65,,,,152
44165,0.22,0.67,,,,153
44166,0.193333333,0.493333333,,,,154
44167,0.166666667,0.356666667,,,,155
44168,0.1,0.2,,,,156
44169,0.143333333,0.193333333,,,,157
44170,0.186666667,0.296666667,,,,158
44171,0.206666667,0.316666667,,,,159
44172,0.176666667,0.33,,,,160
44173,0.186666667,0.306666667,,,,161
44174,0.24,0.296666667,,,,162
44175,0.26,0.283333333,,,,163
44176,0.273333333,0.303333333,,,,164
44179,0.203333333,0.226666667,,,,167
44181,0.216666667,0.226666667,,,,169
44183,0.226666667,0.203333333,,,,171
44186,0.156666667,0.21,,,,174
44188,0.26,0.31,,,,176
44192,0.253333333,0.383333333,,,,180
44200,0.37,0.43,,,,188
44202,0.313333333,0.37,,,,190
44204,0.403333333,0.473333333,,,,192
44207,0.376666667,0.493333333,,,,195
44209,0.376666667,0.473333333,,,,197
44211,0.346666667,0.543333333,,,,199
44214,0.44,0.72,,,,202
44216,0.29,0.613333333,,,,204
44218,0.32,0.723333333,,,,206
44221,0.33,0.463333333,,,,209
44223,0.33,0.123333333,,,,211
44225,0.293333333,0.263333333,,,,213
44228,0.253333333,0.4,,,,216
44230,0.213333333,0.276666667,,,,218
44232,0.22,0.353333333,,,,220
44235,0.2,0.4,,,,223
44237,0.26,0.383333333,,,,225
44239,0.253333333,0.276666667,,,,227
44242,0.326666667,0.376666667,,,,230
44244,0.33,0.343333333,,,,232
44246,0.266666667,0.27,,,,234
44249,0.383333333,0.31,,,,237
44251,0.43,0.313333333,,,,239
44253,0.45,0.303333333,,,,241
44256,0.62,0.53,,,,244
44258,0.65,0.536666667,,,,246
44260,0.636666667,0.55,,,,248
44263,0.736666667,0.46,,,,251
44265,0.766666667,0.453333333,,,,253
44267,0.723333333,0.48,,,,255
44270,0.676666667,0.616666667,,,,258
44272,0.49,0.516666667,,,,260
44274,0.483333333,0.546666667,,,,262
44277,0.206666667,0.173333333,,,,265
44279,0.19,0.116666667,,,,267
44281,0.153333333,0.153333333,,,,269
44284,0.27,0.203333333,,,,272
44286,0.343333333,0.196666667,,,,274
44288,0.326666667,0.27,,,,276
44291,0.3,0.35,,,,279
44293,0.283333333,0.183333333,,,,281
44295,0.313333333,0.21,,,,283
44298,0.393333333,0.323333333,,,,286
44300,0.32,0.446666667,,,,288
44302,0.303333333,0.293333333,,,,290
44305,0.23,0.216666667,,,,293
44307,0.283333333,0.346666667,,,,295
44309,0.376666667,0.423333333,,,,297
44313,0.393333333,0.433333333,,,,301
44314,0.416666667,0.496666667,,,,302
44316,0.42,0.493333333,,,,304
44321,0.203333333,0.216666667,,,,309
44323,0.18,0.21,,,,311
44326,0.19,0.256666667,,,,314
44328,0.213333333,0.216666667,,,,316
44330,0.233333333,0.233333333,,,,318
44333,0.273333333,0.25,,,,321
44335,0.213333333,0.303333333,,,,323
44337,0.223333333,0.28,,,,325
44340,0.296666667,0.303333333,,,,328
44342,0.31,0.283333333,,,,330
44344,0.3,0.25,,,,332
44347,0.31,0.243333333,,,,335
44349,0.36,0.283333333,,,,337
44351,0.3,0.223333333,,,,339
44354,0.32,0.146666667,,,,342
44356,0.263333333,0.133333333,,,,344
44358,0.2,0.14,,,,346
44361,0.313333333,0.17,,,,349
44363,0.12,0.163333333,,,,351
44365,0.14,0.163333333,,,,353
44368,0.13,0.193333333,,,,356
44370,0.126666667,0.146666667,,,,358
44372,0.163333333,0.19,,,,360
44375,0.166666667,0.183333333,,,,363
44377,0.18,0.18,,,,365
44379,0.196666667,0.186666667,,,,367
44382,0.196666667,0.21,,,,370
44384,0.206666667,0.223333333,,,,372
44386,0.213333333,0.283333333,,,,374
44389,0.176666667,0.263333333,,,,377
44391,0.196666667,0.293333333,,,,379
44393,0.193333333,0.35,,,,381
44396,0.31,0.446666667,,,,384
44398,0.39,0.496666667,,,,386
