Date,pH,Temperature (°C),D.O. (mg/L),Turbidity (NTU),TSS (g/L),NO3-N (mg/L),NH4-N (mg/L),ORP (MV),Conductivity (mS/cm)
44085.37708,4.9972,15.9564,5.10422,80.9696,0.155255,50.3549,11.3799,294.152,1.04843
44085.39236,5.02476,16.429,5.83809,79.8308,0.151618,50.5325,11.4307,292.87,1.04819
44085.40278,5.04545,16.7512,6.2803,79.5224,0.152046,51.083,11.3141,289.218,1.04792
44085.41319,5.07139,17.1759,6.85213,78.96,0.149392,51.4849,11.3869,286.59,1.04757
44085.42361,5.09754,17.6436,7.45885,78.8194,0.149481,52.4322,11.1982,283.642,1.04756
44085.43403,5.11682,18.13,8.06754,78.7264,0.148376,51.8879,11.2725,281.463,1.04698
44085.44444,5.14141,18.5572,8.56578,78.5393,0.147582,52.3199,11.1624,277.939,1.04692
44085.45486,5.17054,18.9895,8.98299,78.5134,0.147487,53.1907,10.9841,274.734,1.04669
44085.46528,5.18936,19.4351,9.34667,78.7555,0.146764,52.3797,11.2159,271.786,1.04628
44085.47569,5.216,19.8599,9.61401,79.0065,0.145816,53.391,10.9442,268.198,1.04613
44085.48611,5.24122,20.2525,9.83856,79.1167,0.146983,52.9946,11.0642,265.314,1.04643
44085.49653,5.26362,20.5629,9.93851,79.3436,0.14645,52.813,11.1199,262.174,1.04647
44085.50694,5.2816,20.906,10.0862,79.2913,0.145237,53.4635,10.99,259.418,1.04694
44085.51736,5.29581,21.1956,10.1893,79.3973,0.14484,53.8463,10.9598,256.726,1.04726
44085.52778,5.31077,21.423,10.16,79.7553,0.145352,53.6352,11.0246,253.778,1.04773
44085.53819,5.32901,21.6299,10.109,79.7495,0.146294,53.1071,11.1628,251.279,1.04813
44085.54861,5.34792,21.7586,10.0105,80.1475,0.145096,53.4139,11.1188,249.036,1.04878
44085.55903,5.3688,21.8356,9.91408,80.3886,0.145642,53.8875,11.0876,247.178,1.04942
44085.56944,5.3905,21.858,9.42328,80.3852,0.144226,53.9959,11.1225,244.935,1.04994
44085.57986,5.40294,21.8482,10.4279,80.8983,0.144979,54.0161,11.111,243.909,1.05095
44085.59028,5.41629,21.795,10.9925,80.9015,0.144371,54.3242,11.0831,242.435,1.05161
44085.60069,5.4225,21.683,10.4585,81.1815,0.144234,54.0216,11.1369,241.154,1.05231
44085.61111,5.43576,21.6103,9.96372,81.2673,0.144942,54.7025,11.1046,232.246,1.05313
44085.62153,5.45409,21.4216,9.22941,81.5941,0.144553,54.9971,11.0727,217.121,1.05387
44085.63194,5.52033,21.2486,8.63545,81.7669,0.144441,54.4645,11.2774,205.33,1.05465
44085.64236,5.58469,21.1399,8.37245,82.1148,0.144702,55.1267,11.163,196.999,1.05539
44085.65278,5.63157,20.938,7.82659,82.2612,0.144821,54.7776,11.2818,190.077,1.05595
44085.66319,5.67735,20.7309,7.28355,82.5888,0.145819,55.1196,11.2315,184.502,1.05679
44085.67361,5.71175,20.5144,6.70863,82.6644,0.146079,55.5595,11.1554,181.041,1.0576
44085.68403,5.73811,20.2761,6.14899,83.0287,0.14576,56.109,11.1188,178.542,1.05856
44085.69444,5.7393,20.0229,5.52708,83.2972,0.145776,56.3448,11.0503,177.196,1.05949
44085.70486,5.72443,19.7563,4.96313,83.4509,0.146388,56.4332,11.0035,177.196,1.06034
44085.71528,5.69579,19.4902,4.34767,83.4473,0.145209,56.9175,10.9093,177.709,1.06127
44085.72569,5.6567,19.2066,3.75684,83.5499,0.14625,57.6171,10.7548,177.453,1.06212
44085.73611,5.63255,18.9441,3.18489,83.6046,0.146029,57.4409,10.7945,177.324,1.06313
44085.74653,5.6084,18.6902,2.65463,83.8308,0.146931,57.1335,10.857,176.235,1.0639
44085.75694,5.59919,18.4449,2.20519,84.2075,0.147938,57.3353,10.8611,175.081,1.06484
44085.76736,5.60157,18.2231,1.85994,84.2308,0.147482,56.796,10.9206,173.8,1.06566
44085.77778,5.61203,18.0042,1.59527,84.3323,0.147053,57.3743,10.8855,172.838,1.06633
44085.78819,5.60998,17.8157,1.3976,84.356,0.147661,56.6264,10.9886,171.493,1.06713
44085.79861,5.62291,17.6286,1.25132,84.3486,0.149463,57.2533,10.9268,169.698,1.06777
44085.80903,5.63479,17.4594,1.1487,84.4261,0.149053,56.8614,10.9993,168.417,1.06837
44085.81944,5.64328,17.3013,1.08163,84.9211,0.150285,57.2487,10.9527,166.622,1.06899
44085.82986,5.6599,17.1541,1.03981,85.1461,0.150287,57.662,10.8795,165.148,1.0695
44085.84028,5.6662,17.0179,1.02515,85.096,0.150615,57.1981,11.0307,163.418,1.06996
44085.85069,5.6841,16.8913,1.02057,84.8325,0.151423,57.2026,11.009,162.2,1.07049
44085.86111,5.69049,16.7703,1.03019,85.4201,0.150626,57.0672,11.0707,160.919,1.07102
44085.87153,5.69805,16.6533,1.04938,85.5481,0.150993,57.2587,11.0764,159.701,1.07127
44085.88194,5.70569,16.5513,1.06977,85.6277,0.151633,56.9981,11.104,158.868,1.07184
44085.89236,5.72025,16.4439,1.10034,85.1299,0.152281,57.0213,11.1938,157.714,1.07243
44085.90278,5.73249,16.3325,1.14472,85.318,0.152963,56.7301,11.2289,155.792,1.07297
44085.91319,5.75281,16.213,1.18391,85.702,0.153617,57.1736,11.1501,154.702,1.07334
44085.92361,5.76271,16.0894,1.22382,85.6753,0.154335,56.7664,11.2635,153.421,1.07392
44085.93403,5.77269,15.9862,1.27078,85.863,0.154003,57.2654,11.1792,152.523,1.0743
44085.94444,5.78849,15.8844,1.31362,85.4232,0.153614,56.7482,11.2926,151.242,1.07475
44085.95486,5.80204,15.7949,1.35981,85.7528,0.153895,56.9815,11.2902,150.28,1.07522
44085.96528,5.81328,15.7094,1.40273,86.0501,0.153963,56.9901,11.3058,148.678,1.0756
44085.97569,5.83392,15.6511,1.44708,85.5029,0.154904,57.3347,11.2304,147.909,1.0757
44085.98611,5.84188,15.6104,1.48866,85.3684,0.154838,57.8085,11.1074,147.076,1.07529
44085.99653,5.844,15.5589,1.54569,85.5556,0.153938,57.9822,11.0959,145.987,1.07548
44086.00694,5.86004,15.506,1.5874,85.7648,0.154938,57.6643,11.206,144.833,1.07565
44086.01736,5.87719,15.4409,1.62494,85.5395,0.155364,57.1831,11.3155,143.615,1.07584
44086.02778,5.88388,15.3691,1.66404,85.4845,0.15614,56.7126,11.4252,142.975,1.07611
44086.03819,5.89639,15.2999,1.70319,85.512,0.155232,56.7206,11.4078,142.206,1.07607
44086.04861,5.90663,15.243,1.7414,85.6457,0.154963,56.8352,11.4352,141.308,1.07639
44086.05903,5.91681,15.1685,1.77926,85.5032,0.155546,56.663,11.4872,140.539,1.07656
44086.06944,5.92235,15.0967,1.81636,85.4209,0.155882,56.9084,11.454,140.027,1.07691
44086.07986,5.92786,15.0154,1.85091,85.4166,0.155347,56.4077,11.5688,139.258,1.07712
44086.09028,5.93919,14.9327,1.88805,85.292,0.156277,56.6697,11.5632,138.617,1.07729
44086.10069,5.9552,14.8597,1.92265,85.3533,0.156295,56.6388,11.6201,137.912,1.07751
44086.11111,5.96541,14.7865,1.95685,85.1683,0.155574,56.7012,11.5701,137.591,1.07758
44086.12153,5.97226,14.7486,1.99175,85.0494,0.155995,56.4026,11.6836,136.758,1.07776
44086.13194,5.97903,14.689,2.02219,84.9912,0.156184,57.15,11.5502,136.117,1.07803
44086.14236,5.98464,14.6281,2.06046,85.0463,0.156307,55.9389,11.8141,135.733,1.07818
44086.15278,5.9809,14.5603,2.09351,84.914,0.155819,56.2255,11.8087,135.156,1.07834
44086.16319,5.99932,14.4967,2.12954,84.7727,0.155456,56.5132,11.7359,134.579,1.07849
44086.17361,6.00608,14.4304,2.16461,84.4994,0.155764,56.0582,11.8524,133.746,1.0787
44086.18403,6.01401,14.3654,2.19936,84.5224,0.155604,56.1993,11.8735,133.298,1.07888
44086.19444,6.02779,14.3045,2.23669,84.4096,0.15613,55.9051,11.9212,132.913,1.07897
44086.20486,6.03224,14.2422,2.27409,84.3374,0.155472,56.1989,11.9149,132.08,1.07917
44086.21528,6.0402,14.1827,2.311,84.0836,0.154995,56.0596,11.9618,131.439,1.07934
44086.22569,6.05051,14.1258,2.3515,84.0057,0.154668,56.2248,11.9501,130.862,1.07935
44086.23611,6.06083,14.0703,2.39132,83.9039,0.155014,56.0856,11.9698,130.158,1.07975
44086.24653,6.06648,14.0135,2.44143,83.6631,0.153823,56.0908,12.0243,130.093,1.07972
44086.25694,6.0803,13.9567,2.51768,83.3716,0.153996,55.969,12.1049,129.965,1.0797
44086.26736,6.0813,13.9052,2.66247,83.2391,0.154616,55.2628,12.2128,129.517,1.07983
44086.27778,6.0975,13.8606,2.87477,82.5698,0.154109,55.7669,12.0726,129.517,1.0798
44086.28819,6.10906,13.8227,3.12772,82.0876,0.15382,55.7012,12.0738,129.453,1.07973
44086.29861,6.11949,13.797,3.43098,81.6939,0.154149,54.9345,12.2033,129.581,1.07962
44086.30903,6.13112,13.7834,3.99414,81.296,0.15356,54.6494,12.2625,129.837,1.07951
44086.31944,6.14514,13.7834,4.59619,81.1551,0.153167,54.888,12.2228,129.837,1.07923
44086.32986,6.16627,13.8213,5.20672,80.9315,0.153324,54.0256,12.3417,130.093,1.07894
44086.34028,6.19113,13.9431,5.85121,80.8858,0.153315,53.4725,12.51,130.67,1.07841
44086.35069,6.22081,14.1299,6.48419,81.0386,0.15274,52.9009,12.626,131.247,1.0777
