pH,Temperature,D.O. (mg/L),Turbidity (NTU),TSS (g/L),NO3-N (mg/L),NH4-N (mg/L),ORP (MV),Conductivity (mS/cm)
6.41,16.27,4.58,114.47,0.16,10.21,22.05,140.22,0.96
6.41,16.24,4.57,114.69,0.16,10.25,22.07,139.64,0.96
6.41,16.22,4.56,114.36,0.16,10.27,22.26,139.39,0.96
6.41,16.19,4.52,114.16,0.16,10.23,22.39,139.13,0.96
6.41,16.16,4.5,114.42,0.16,10.35,22.24,138.55,0.96
6.41,16.12,4.47,114.15,0.16,10.33,22.38,137.46,0.96
6.42,16.08,4.46,113.94,0.16,10.42,22.23,137.53,0.96
6.42,16.06,4.45,114.16,0.16,10.38,22.54,136.82,0.96
6.42,16.04,4.45,113.98,0.16,10.4,22.61,136.44,0.96
6.42,16.02,4.48,113.87,0.16,10.39,22.8,136.18,0.96
6.42,16,4.5,113.99,0.16,10.46,22.76,135.8,0.96
6.43,15.97,4.52,113.7,0.16,10.47,22.78,135.48,0.96
6.43,15.94,4.54,113.33,0.16,10.52,22.86,134.9,0.96
6.43,15.92,4.55,113.48,0.15,10.53,22.94,134.39,0.96
6.44,15.9,4.54,113.47,0.16,10.52,23.08,133.81,0.96
6.44,15.87,4.52,113.19,0.15,10.59,23.03,133.62,0.96
6.44,15.84,4.5,112.97,0.16,10.6,23.12,133.17,0.96
6.44,15.79,4.48,113,0.16,10.64,23.14,132.53,0.96
6.44,15.76,4.47,112.95,0.16,10.65,23.17,131.95,0.96
6.44,15.72,4.45,112.58,0.16,10.68,23.14,130.93,0.96
6.45,15.68,4.44,112.33,0.16,10.66,23.35,130.09,0.96
6.45,15.63,4.42,112.34,0.15,10.66,23.37,129.45,0.96
6.45,15.59,4.43,111.91,0.15,10.78,23.35,129.07,0.96
6.45,15.55,4.41,111.82,0.15,10.82,23.44,128.49,0.96
6.46,15.52,4.39,111.9,0.15,10.8,23.46,127.34,0.96
6.46,15.49,4.39,111.84,0.15,10.85,23.61,126.57,0.96
6.47,15.46,4.38,111.66,0.15,10.8,23.81,126.25,0.96
6.47,15.45,4.4,111.67,0.15,10.85,23.82,125.93,0.96
6.47,15.45,4.47,111.56,0.15,10.97,23.83,126.25,0.96
6.48,15.45,4.6,111.41,0.15,10.88,24.15,126.7,0.96
6.49,15.46,4.81,110.98,0.15,11.07,23.96,127.59,0.96
6.51,15.47,5.12,110.31,0.15,11.2,23.9,128.62,0.96
6.52,15.49,5.5,109.42,0.16,11.24,23.83,130.22,0.95
6.55,15.54,6.16,108.66,0.15,11.24,23.81,132.27,0.94
6.59,15.62,6.97,108.29,0.15,11.45,23.81,135.48,0.94
6.62,15.71,7.7,108.05,0.15,11.65,23.76,137.98,0.94
6.66,15.79,8.43,107.47,0.15,11.74,23.46,140.73,0.93
6.7,15.88,9.1,107.3,0.15,11.89,23.34,143.74,0.93
6.74,15.99,9.84,107.16,0.15,11.96,23.5,147.27,0.92
6.78,16.11,10.47,107.2,0.15,12.17,23.37,149.77,0.92
6.74,16.22,10.58,106.54,0.15,13.39,20.63,152.4,0.92
6.88,16.36,11.71,107.59,0.15,11.9,24.76,148.42,0.92
6.92,16.5,12.14,107.6,0.15,12.42,23.72,152.72,0.92
6.99,16.69,12.83,107.34,0.15,12.51,23.65,155.6,0.92
7.02,16.81,12.99,107.75,0.15,12.66,23.44,155.47,0.92
7.07,16.95,13.27,107.37,0.15,12.61,23.46,157.71,0.91
7.14,17.21,13.74,107.94,0.15,12.95,23.01,158.42,0.91
7.21,17.5,14.26,107.94,0.15,13.15,22.99,158.23,0.91
7.29,17.82,14.62,108.4,0.15,13.12,23.26,157.97,0.91
7.35,18.1,14.75,108.36,0.15,13.42,22.97,156.69,0.91
7.39,18.4,14.77,108.82,0.15,13.48,23.07,157.2,0.91
7.43,18.74,14.7,109.17,0.15,13.64,22.92,158.48,0.91
7.44,19.03,14.48,109.46,0.15,13.7,23.03,158.42,0.91
7.44,19.2,14.12,109.62,0.15,13.79,22.86,158.61,0.91
7.42,19.32,13.67,109.75,0.15,13.8,22.79,158.61,0.91
7.41,19.43,13.3,109.53,0.15,13.8,22.72,160.09,0.91
7.41,19.57,13.07,109.64,0.15,13.86,22.7,161.43,0.91
7.39,19.63,12.72,109.96,0.15,13.83,22.7,162.2,0.91
7.36,19.65,12.27,110.16,0.15,13.88,22.34,164.44,0.9
7.33,19.64,11.86,109.79,0.15,13.8,22.35,165.79,0.9
7.3,19.63,11.54,109.74,0.15,13.9,22.08,165.85,0.9
7.26,19.57,11.08,109.64,0.15,13.79,22.11,164.76,0.9
7.23,19.54,10.78,110.05,0.15,13.81,22.08,164.57,0.9
7.2,19.51,10.5,110.11,0.15,13.78,22.04,164.12,0.9
7.16,19.46,10.12,109.97,0.15,13.75,21.95,162.2,0.9
7.16,19.45,10.05,110.45,0.15,13.86,22.02,161.05,0.9
7.1,19.39,9.63,109.88,0.15,13.74,21.99,158.68,0.9
7.05,19.31,9.17,109.76,0.15,13.53,22.05,156.69,0.9
6.98,19.22,8.57,109.16,0.15,13.41,22.1,153.16,0.9
6.92,19.15,8.02,109.33,0.15,13.11,22.37,150.22,0.89
6.86,19.08,7.47,109.79,0.15,13.09,22.25,147.85,0.89
6.8,18.99,6.98,109.25,0.15,13,22.13,145.99,0.89
6.76,18.9,6.57,108.99,0.15,12.84,22.25,144.19,0.89
6.72,18.83,6.17,108.68,0.15,12.72,22.36,141.76,0.89
6.68,18.76,5.83,108.71,0.15,12.71,22.29,140.6,0.89
6.65,18.68,5.54,108.6,0.15,12.59,22.51,138.87,0.89
6.62,18.6,5.29,108.8,0.15,12.54,22.57,137.4,0.88
6.6,18.53,5.15,108.16,0.15,12.42,22.45,138.17,0.88
6.58,18.48,4.95,108.18,0.15,12.29,22.83,137.66,0.88
6.56,18.43,4.78,107.44,0.15,12.26,22.75,137.02,0.87
6.55,18.39,4.63,108.1,0.15,12.23,22.84,135.8,0.87
6.53,18.34,4.52,108.19,0.15,12.2,23.05,135.86,0.87
6.52,18.28,4.57,107.21,0.15,12.1,22.97,137.98,0.86
6.52,18.22,4.66,106.05,0.15,11.93,22.78,142.78,0.85
6.51,18.18,4.57,106,0.15,12,22.69,139.71,0.85
6.5,18.14,4.46,106.01,0.15,11.94,22.95,137.98,0.85
6.49,18.1,4.37,105.89,0.15,11.95,22.98,136.95,0.85
6.48,18.06,4.28,105.61,0.15,11.99,23.01,136.05,0.85
6.48,18.03,4.2,105.87,0.15,12.04,22.98,135.61,0.85
6.47,18,4.16,105.47,0.15,11.98,23.06,136.05,0.85
6.47,17.97,4.11,105.23,0.16,11.97,23.32,135.54,0.85
6.46,17.94,4.07,105.59,0.15,12.02,23.28,135.73,0.85
6.46,17.92,4.07,105.54,0.15,12.03,23.36,136.25,0.85
6.46,17.89,4.1,104.75,0.15,12.01,23.26,138.36,0.85
6.46,17.86,4.12,104.47,0.15,11.9,23.58,137.78,0.85
6.46,17.82,4.16,104.3,0.15,12.04,23.31,139.32,0.84
6.46,17.79,4.16,104.2,0.15,11.88,23.51,138.43,0.84
6.46,17.76,4.12,104.01,0.16,12.03,23.36,137.02,0.84
6.45,17.73,4.08,103.6,0.16,11.95,23.55,135.93,0.84
6.46,17.7,4.06,103.42,0.15,11.99,23.64,135.16,0.84
6.45,17.68,4.04,103.74,0.15,11.98,23.72,135.67,0.84
6.45,17.65,4.03,103.25,0.15,11.9,23.92,136.76,0.84
6.45,17.62,4.01,102.95,0.15,12.04,23.76,134.64,0.84
6.45,17.59,3.99,102.77,0.16,12.02,23.84,133.75,0.84
6.45,17.57,3.96,102.97,0.15,12.01,23.98,132.98,0.84
6.45,17.55,3.93,102.85,0.15,11.96,24.12,133.04,0.84
6.45,17.53,3.92,102.71,0.16,12.05,24.01,133.62,0.84
6.45,17.51,3.9,102.11,0.15,12.1,24.03,131.31,0.84
6.45,17.48,3.88,102.18,0.15,11.99,24.29,130.35,0.84
6.45,17.46,3.88,102.35,0.15,12.1,24.25,130.29,0.84
6.45,17.44,3.87,101.9,0.15,12.12,24.39,130.03,0.84
6.45,17.41,3.88,101.81,0.16,12.11,24.41,130.16,0.84
6.45,17.38,3.92,101.12,0.16,12.02,24.37,130.48,0.83
6.45,17.35,3.92,100.75,0.15,12.07,24.4,130.35,0.83
6.46,17.32,3.95,100.86,0.15,11.98,24.48,130.22,0.83
6.47,17.27,4.25,99.05,0.15,11.79,24.27,132.14,0.81
6.47,17.23,4.42,97.83,0.15,11.7,24.11,132.21,0.81
6.48,17.19,4.51,96.91,0.15,11.61,24.01,132.98,0.8
6.48,17.15,4.6,96.23,0.15,11.46,23.92,132.98,0.79
6.48,17.12,4.57,96.2,0.15,11.54,23.82,131.7,0.79
