pH,Temperature (°C),D.O. (mg/L),Cell Count (million per mL),NO3-N (mg/L),NH4-N (mg/L),ORP (MV),Conductivity (mS/cm),Turbidity (NTU)
6.74,15.99,9.84,2.8,11.96,23.5,147.27,0.92,107.16
6.85,17.49,10.77,3.14,13.54,23.55,148.1,0.78,94.29
6.98,12.96,11.48,2.0,17.28,27.97,133.23,0.8,97.1
7.06,12.25,11.86,2.86,20.19,32.24,122.15,0.82,99.01
6.94,11.69,11.69,2.46,23.18,32.94,122.98,0.84,99.58
6.75,14.43,12.73,2.9,25.71,30.17,147.72,0.84,83.09
6.49,13.38,11.27,1.93,27.45,30.35,131.76,0.86,85.16
6.45,14.03,12.13,3.19,28.08,31.68,140.09,0.88,86.7
6.31,13.93,11.34,3.06,28.94,31.93,132.27,0.89,87.13
6.22,14.4,10.66,2.58,30.0,31.78,130.67,0.9,87.66
6.3,15.32,11.73,2.61,30.34,32.63,126.89,0.91,87.45
6.42,14.05,12.12,2.68,30.79,32.26,119.58,0.93,87.87
6.25,16.79,11.79,2.33,29.31,27.11,145.47,0.95,94.57
5.97,18.35,10.26,2.96,31.25,26.49,154.96,0.95,96.23
5.85,18.66,9.47,1.82,31.04,27.06,161.62,0.93,95.15
6.51,14.38,12.03,3.28,29.89,30.33,132.08,0.94,94.26
6.81,12.99,12.32,2.3,29.28,33.54,118.43,0.96,94.02
6.94,12.39,12.53,2.2,28.61,34.93,116.38,0.97,93.25
6.73,16.45,11.25,2.01,28.54,33.72,123.11,0.96,86.49
6.85,13.85,11.65,2.07,29.62,33.81,114.52,0.97,84.81
7.05,13.5,12.33,1.5,29.06,37.07,110.74,0.99,84.4
7.14,13.46,11.95,2.38,30.85,37.48,103.63,1.0,81.2
7.23,10.79,11.77,1.7,28.81,43.52,15.25,1.02,85.43
7.35,10.5,11.22,1.7,27.87,50.74,-18.58,1.04,92.76
7.37,11.83,10.82,1.73,26.02,55.52,109.33,1.04,82.03
7.4,12.91,9.72,1.5,26.2,57.27,119.33,1.04,76.55
6.96,15.69,11.54,4.1,29.08,37.84,221.93,0.99,85.06
6.84,17.1,8.28,3.5,29.36,34.84,230.64,0.98,86.51
6.79,17.99,11.44,3.82,29.75,34.57,227.95,0.98,87.82
6.74,19.14,11.12,3.4,31.06,33.31,220.52,0.99,89.72
5.92,20.13,6.81,2.7,34.93,29.96,189.05,1.01,79.87
5.95,18.03,8.99,2.4,33.71,30.03,172.2,1.0,77.69
6.65,16.72,14.12,2.5,34.01,32.48,137.91,1.02,81.76
5.05,16.75,6.28,3.1,51.08,11.31,289.22,1.05,79.52
6.43,15.74,9.74,2.7,51.29,13.23,141.18,1.07,80.91
6.49,17.2,10.7,2.8,51.71,13.03,193.22,1.08,79.17
6.7,17.63,14.39,2.1,55.89,13.49,63.19,1.08,49.53
6.18,18.92,5.51,0.4,55.64,10.79,198.28,1.07,22.78
6.69,18.28,4.16,0.3,60.4,8.71,255.77,1.08,15.69
6.62,18.94,9.37,1.3,67.56,7.58,246.79,1.09,37.42
7.0,23.35,4.66,3.0,59.7,12.95,99.46,1.11,94.71
6.87,16.63,6.35,1.61,63.14,11.85,163.29,1.1,84.76
7.15,13.33,8.1,2.0,59.84,14.32,167.84,1.13,86.58
7.05,15.72,5.91,1.9,60.52,15.22,156.95,1.12,83.43
6.92,17.55,7.03,1.5,61.63,15.11,135.54,1.11,79.22
6.94,16.87,10.66,1.8,51.05,10.07,153.87,0.98,78.02
6.79,18.83,10.43,1.75,60.53,9.99,138.1,0.98,71.83
6.84,20.61,9.87,1.0,55.18,12.63,142.14,0.98,71.85
6.81,20.32,8.58,1.6,52.31,15.37,132.27,0.99,63.51
6.82,19.46,9.01,1.36,49.89,17.53,158.42,1.0,59.85
5.94,19.99,8.68,0.58,52.65,15.41,221.99,1.01,52.4
5.92,21.43,8.04,0.3,55.27,16.53,213.79,1.05,51.77
7.47,20.11,7.37,0.3,57.93,16.86,158.1,1.16,49.09
7.02,20.18,7.54,0.35,57.95,13.66,207.89,1.13,42.75
6.71,20.96,6.7,0.3,57.78,11.99,176.75,1.11,36.49
6.49,20.89,6.84,2.0,53.2,11.89,199.95,1.09,27.13
6.29,20.58,7.89,0.23,55.39,10.53,215.78,1.09,28.82
6.29,20.59,7.93,0.18,56.74,10.29,217.51,1.1,31.14
6.84,20.26,10.01,0.21,51.51,10.25,255.32,1.08,36.26
6.84,18.82,9.28,0.35,49.93,9.47,253.07,1.07,28.01
6.87,20.15,10.37,0.7,55.11,9.53,263.65,1.1,21.16
6.72,22.12,10.65,0.92,59.26,8.17,255.57,1.1,36.25
7.14,21.48,11.68,1.2,59.2,9.0,277.94,1.12,32.47
7.59,21.93,12.76,0.8,60.04,9.71,269.29,1.12,32.88
7.73,21.13,13.6,0.4,58.33,9.4,286.4,1.13,35.62
7.74,20.16,13.82,0.66,58.33,8.88,273.71,1.14,37.07
7.41,21.22,12.71,0.45,60.54,7.83,265.51,1.13,39.8
7.52,22.89,12.03,0.32,59.98,6.83,254.93,1.1,48.57
7.46,23.98,11.84,0.4,60.89,6.27,225.07,1.09,46.04
7.15,23.43,10.87,0.25,51.85,5.43,212.76,0.97,43.67
7.41,22.84,9.43,0.3,34.38,4.32,195.33,0.72,37.78
6.91,22.14,9.72,0.4,38.29,3.43,200.4,0.74,43.02
7.25,21.79,10.02,0.42,28.37,3.71,184.95,0.62,39.75
8.08,22.67,10.21,0.44,23.71,4.06,148.94,0.54,43.5
7.46,24.16,9.7,0.4,27.24,3.48,161.88,0.55,50.62
7.35,25.31,9.28,0.43,28.25,4.44,170.66,0.58,54.96
8.11,21.73,11.15,0.4,25.5,6.86,160.47,0.57,65.43
8.05,22.39,10.46,0.3,27.7,7.43,195.01,0.6,64.62
7.99,20.16,11.46,0.4,30.13,6.9,213.41,0.63,60.53
7.81,20.13,10.99,0.54,32.52,7.03,213.79,0.66,58.35
7.57,23.04,10.29,0.51,35.49,7.13,207.12,0.68,56.27
7.5,20.72,10.21,0.55,37.27,8.76,212.96,0.72,52.66
