Date,RW2,RW3/RW1
44013.50903,8.69317,8.61336
44013.51944,8.72516,8.64439
44013.52986,8.75858,8.66827
44013.54028,8.79026,8.69255
44013.55069,8.81808,8.71192
44013.56111,8.84487,8.73236
44013.57153,8.87065,8.74852
44013.58194,8.89165,8.76091
44013.59236,8.91277,8.77021
44013.60278,8.93086,8.78184
44013.61319,8.94589,8.78275
44013.62361,8.95685,8.78603
44013.63403,8.95199,8.76579
44013.64444,8.94383,8.74009
44013.65486,8.93237,8.71116
44013.66528,8.9261,8.68519
44013.67569,8.91214,8.65039
44013.68611,8.88878,8.60396
44013.69653,8.8619,8.54635
44013.70694,8.83603,8.48533
44013.71736,8.80027,8.41653
44013.72778,8.76323,8.341
44013.73819,8.724,8.25987
44013.74861,8.68589,8.17537
44013.75903,8.64659,8.08962
44013.76944,8.6061,8.0059
44013.77986,8.56559,7.92095
44013.79028,8.52265,7.8424
44013.80069,8.47522,7.77141
44013.81111,8.42989,7.70802
44013.82153,8.38443,7.65664
44013.83194,8.33228,7.61182
44013.84236,8.28113,7.57355
44013.85278,8.23004,7.54082
44013.86319,8.1776,7.51571
44013.87361,8.12398,7.49278
44013.88403,8.07361,7.47425
44013.89444,8.0232,7.45903
44013.90486,7.97712,7.4471
44013.91528,7.93213,7.43627
44013.92569,7.88927,7.42653
44013.93611,7.85524,7.42565
44013.94653,7.82113,7.41362
44013.95694,7.79249,7.40823
44013.96736,7.76606,7.40283
44013.97778,7.74406,7.40299
44013.98819,7.72428,7.39758
44013.99861,7.70564,7.39553
44014.00903,7.69031,7.39904
44014.01944,7.67723,7.39811
44014.02986,7.66413,7.39718
44014.04028,7.6555,7.39849
44014.05069,7.64798,7.39979
44014.06111,7.64043,7.40108
44014.07153,7.63518,7.4013
44014.08194,7.62991,7.40151
44014.09236,7.62686,7.40282
44014.10278,7.62377,7.40524
44014.11319,7.62178,7.40651
44014.12361,7.62089,7.4089
44014.13403,7.61885,7.41239
44014.14444,7.61794,7.41477
44014.15486,7.61924,7.41713
44014.16528,7.61944,7.41837
44014.17569,7.62186,7.42297
